account_id,customer_id,payment_type,card_tier,rewards_rate,credit_limit,account_open_date,account_status
ACC00067,CUST00067,Mastercard,Gold,0.024,25000,2021-06-16,Active
ACC00068,CUST00068,Mastercard,Standard,0.032,15000,2019-11-11,Active
ACC00069,CUST00069,Debit,N/A,0.0,0,2023-03-25,Inactive
ACC00070,CUST00070,Cash,N/A,0.0,0,2020-11-30,Inactive
ACC00071,CUST00071,Mastercard,World Elite,0.011,10000,2019-08-20,Active
ACC00072,CUST00072,Mastercard,Gold,0.015,25000,2022-11-17,Inactive
ACC00073,CUST00073,Visa,N/A,0.0,0,2021-09-24,Active
ACC00074,CUST00074,Cash,N/A,0.0,0,2020-04-05,Active
ACC00075,CUST00075,Cash,N/A,0.0,0,2019-07-01,Suspended
ACC00076,CUST00076,Mastercard,Gold,0.028,10000,2020-05-09,Inactive
ACC00077,CUST00077,Mastercard,Platinum,0.035,15000,2021-05-13,Active
ACC00078,CUST00078,Visa,N/A,0.0,0,2019-08-04,Inactive
ACC00079,CUST00079,Mastercard,Standard,0.032,10000,2024-01-27,Active
ACC00080,CUST00080,Debit,N/A,0.0,0,2021-11-06,Active
ACC00081,CUST00081,Mastercard,Platinum,0.018,10000,2019-06-20,Active
ACC00082,CUST00082,Mastercard,Platinum,0.025,20000,2021-10-10,Active
ACC00083,CUST00083,Mastercard,Gold,0.018,25000,2021-09-26,Active
ACC00084,CUST00084,Mastercard,Platinum,0.021,20000,2023-11-18,Inactive
ACC00085,CUST00085,Cash,N/A,0.0,0,2021-02-22,Active
ACC00086,CUST00086,Debit,N/A,0.0,0,2019-08-09,Active
ACC00087,CUST00087,Mastercard,Platinum,0.039,20000,2019-07-14,Active
ACC00088,CUST00088,Gift Card,N/A,0.0,0,2023-04-14,Active
ACC00089,CUST00089,Debit,N/A,0.0,0,2022-04-03,Active
ACC00090,CUST00090,Cash,N/A,0.0,0,2024-01-25,Active
ACC00091,CUST00091,Visa,N/A,0.0,0,2023-07-28,Active
ACC00092,CUST00092,Debit,N/A,0.0,0,2023-03-05,Active
ACC00093,CUST00093,Cash,N/A,0.0,0,2022-08-18,Active
ACC00094,CUST00094,Debit,N/A,0.0,0,2023-10-12,Active
ACC00095,CUST00095,Debit,N/A,0.0,0,2023-11-04,Active
ACC00096,CUST00096,Debit,N/A,0.0,0,2021-03-27,Inactive
ACC00097,CUST00097,Visa,N/A,0.0,0,2022-07-10,Active
ACC00098,CUST00098,Debit,N/A,0.0,0,2021-06-03,Active
ACC00099,CUST00099,Mastercard,Standard,0.027,5000,2022-07-15,Inactive
ACC00100,CUST00100,Cash,N/A,0.0,0,2019-07-22,Active
ACC00101,CUST00101,Cash,N/A,0.0,0,2021-04-24,Inactive
ACC00102,CUST00102,Mastercard,Platinum,0.035,10000,2021-01-04,Inactive
ACC00103,CUST00103,Visa,N/A,0.0,0,2020-12-05,Active
ACC00104,CUST00104,Visa,N/A,0.0,0,2020-05-24,Active
ACC00105,CUST00105,Debit,N/A,0.0,0,2023-05-25,Active
ACC00106,CUST00106,Mastercard,Gold,0.04,10000,2023-04-24,Active
ACC00107,CUST00107,Cash,N/A,0.0,0,2020-03-04,Active
ACC00108,CUST00108,Mastercard,Platinum,0.029,25000,2021-04-01,Active
ACC00109,CUST00109,Debit,N/A,0.0,0,2023-05-19,Inactive
ACC00110,CUST00110,Mastercard,Platinum,0.036,10000,2020-12-21,Active
ACC00111,CUST00111,Mastercard,Platinum,0.035,7500,2020-10-10,Inactive
ACC00112,CUST00112,Debit,N/A,0.0,0,2019-07-27,Inactive
ACC00113,CUST00113,Mastercard,Standard,0.022,20000,2021-10-15,Active
ACC00114,CUST00114,Mastercard,Platinum,0.016,25000,2021-09-21,Active
ACC00115,CUST00115,Debit,N/A,0.0,0,2023-07-09,Active
ACC00116,CUST00116,Mastercard,Gold,0.015,7500,2020-10-23,Active
ACC00117,CUST00117,Mastercard,Standard,0.019,20000,2022-12-05,Active
ACC00118,CUST00118,Mastercard,Standard,0.027,7500,2021-03-26,Active
ACC00119,CUST00119,Visa,N/A,0.0,0,2019-06-05,Active
ACC00120,CUST00120,Mastercard,Standard,0.028,25000,2021-04-08,Inactive
ACC00121,CUST00121,Cash,N/A,0.0,0,2019-10-26,Active
ACC00122,CUST00122,Visa,N/A,0.0,0,2021-12-27,Active
ACC00123,CUST00123,Mastercard,Standard,0.022,25000,2023-07-27,Inactive
ACC00124,CUST00124,Mastercard,Platinum,0.028,5000,2020-10-25,Suspended
ACC00125,CUST00125,Visa,N/A,0.0,0,2021-06-25,Inactive
ACC00126,CUST00126,Mastercard,Standard,0.015,10000,2019-02-23,Active
ACC00127,CUST00127,Debit,N/A,0.0,0,2023-09-03,Active
ACC00128,CUST00128,Gift Card,N/A,0.0,0,2020-03-24,Active
ACC00129,CUST00129,Visa,N/A,0.0,0,2020-04-07,Active
ACC00130,CUST00130,Visa,N/A,0.0,0,2023-07-21,Active
ACC00131,CUST00131,Debit,N/A,0.0,0,2019-01-26,Active
ACC00132,CUST00132,Visa,N/A,0.0,0,2019-02-12,Inactive
ACC00133,CUST00133,Mastercard,Gold,0.023,20000,2022-02-02,Suspended
ACC00134,CUST00134,Mastercard,Standard,0.016,20000,2022-04-04,Active
ACC00135,CUST00135,Mastercard,Gold,0.037,15000,2023-03-10,Active
ACC00136,CUST00136,Debit,N/A,0.0,0,2023-06-20,Suspended
ACC00137,CUST00137,Debit,N/A,0.0,0,2023-07-04,Inactive
ACC00138,CUST00138,Cash,N/A,0.0,0,2021-06-02,Active
ACC00139,CUST00139,Mastercard,World Elite,0.038,10000,2022-01-11,Active
ACC00140,CUST00140,Mastercard,World Elite,0.014,25000,2020-05-20,Active
ACC00141,CUST00141,Cash,N/A,0.0,0,2022-03-31,Active
ACC00142,CUST00142,Debit,N/A,0.0,0,2024-02-22,Active
ACC00143,CUST00143,Mastercard,Gold,0.024,10000,2019-08-03,Inactive
ACC00144,CUST00144,Mastercard,Gold,0.032,25000,2022-12-08,Active
ACC00145,CUST00145,Visa,N/A,0.0,0,2022-02-08,Inactive
ACC00146,CUST00146,Cash,N/A,0.0,0,2020-04-03,Active
ACC00147,CUST00147,Debit,N/A,0.0,0,2022-03-22,Inactive
ACC00148,CUST00148,Mastercard,Gold,0.023,20000,2021-06-12,Active
ACC00149,CUST00149,Mastercard,World Elite,0.011,15000,2022-02-18,Active
ACC00150,CUST00150,Visa,N/A,0.0,0,2024-01-09,Active
ACC00151,CUST00151,Mastercard,Platinum,0.014,25000,2020-12-26,Active
ACC00152,CUST00152,Visa,N/A,0.0,0,2023-01-12,Active
ACC00153,CUST00153,Mastercard,Standard,0.037,5000,2023-01-01,Active
ACC00154,CUST00154,Mastercard,Gold,0.033,7500,2021-03-22,Active
ACC00155,CUST00155,Cash,N/A,0.0,0,2021-07-14,Active
ACC00156,CUST00156,Debit,N/A,0.0,0,2022-11-28,Active
ACC00157,CUST00157,Debit,N/A,0.0,0,2020-11-07,Active
ACC00158,CUST00158,Debit,N/A,0.0,0,2023-06-24,Inactive
ACC00159,CUST00159,Mastercard,World Elite,0.014,20000,2022-10-27,Active
ACC00160,CUST00160,Mastercard,Platinum,0.039,5000,2022-12-29,Active
ACC00161,CUST00161,Mastercard,Gold,0.033,5000,2022-06-11,Active
ACC00162,CUST00162,Debit,N/A,0.0,0,2021-04-27,Active
ACC00163,CUST00163,Debit,N/A,0.0,0,2023-02-09,Active
ACC00164,CUST00164,Visa,N/A,0.0,0,2022-05-16,Active
ACC00165,CUST00165,Gift Card,N/A,0.0,0,2020-01-03,Inactive
ACC00166,CUST00166,Debit,N/A,0.0,0,2019-03-02,Active
ACC00167,CUST00167,Mastercard,Gold,0.014,5000,2019-07-12,Inactive
ACC00168,CUST00168,Gift Card,N/A,0.0,0,2022-03-21,Active
ACC00169,CUST00169,Debit,N/A,0.0,0,2022-11-04,Active
ACC00170,CUST00170,Mastercard,Gold,0.031,7500,2023-10-02,Active
ACC00171,CUST00171,Mastercard,Standard,0.021,25000,2021-05-31,Inactive
ACC00172,CUST00172,Debit,N/A,0.0,0,2021-10-20,Active
ACC00173,CUST00173,Mastercard,Standard,0.016,10000,2022-08-18,Active
ACC00174,CUST00174,Cash,N/A,0.0,0,2020-11-26,Active
ACC00175,CUST00175,Mastercard,Standard,0.018,20000,2019-05-05,Suspended
ACC00176,CUST00176,Visa,N/A,0.0,0,2019-05-02,Active
ACC00177,CUST00177,Mastercard,Standard,0.01,20000,2019-01-26,Active
ACC00178,CUST00178,Mastercard,Gold,0.011,20000,2022-02-27,Active
ACC00179,CUST00179,Mastercard,Standard,0.015,25000,2022-06-25,Active
ACC00180,CUST00180,Debit,N/A,0.0,0,2022-01-01,Active
ACC00181,CUST00181,Mastercard,Standard,0.036,7500,2022-05-13,Active
ACC00182,CUST00182,Visa,N/A,0.0,0,2019-12-29,Inactive
ACC00183,CUST00183,Mastercard,Platinum,0.036,7500,2021-11-05,Active
ACC00184,CUST00184,Mastercard,Platinum,0.011,5000,2024-03-30,Active
ACC00185,CUST00185,Debit,N/A,0.0,0,2023-06-14,Inactive
ACC00186,CUST00186,Mastercard,Platinum,0.019,10000,2019-08-09,Active
ACC00187,CUST00187,Debit,N/A,0.0,0,2020-01-05,Active
ACC00188,CUST00188,Debit,N/A,0.0,0,2019-12-09,Inactive
ACC00189,CUST00189,Visa,N/A,0.0,0,2021-10-16,Active
ACC00190,CUST00190,Debit,N/A,0.0,0,2019-11-14,Suspended
ACC00191,CUST00191,Gift Card,N/A,0.0,0,2024-02-28,Active
ACC00192,CUST00192,Mastercard,Gold,0.03,15000,2023-05-25,Active
ACC00193,CUST00193,Visa,N/A,0.0,0,2019-08-27,Active
ACC00194,CUST00194,Cash,N/A,0.0,0,2019-05-15,Active
ACC00195,CUST00195,Mastercard,Gold,0.017,15000,2020-01-21,Active
ACC00196,CUST00196,Mastercard,Standard,0.012,15000,2023-07-19,Inactive
ACC00197,CUST00197,Mastercard,Platinum,0.033,20000,2019-07-22,Inactive
ACC00198,CUST00198,Mastercard,Standard,0.03,20000,2022-02-27,Active
ACC00199,CUST00199,Mastercard,Gold,0.022,20000,2022-08-10,Active
ACC00200,CUST00200,Visa,N/A,0.0,0,2020-10-18,Active
ACC00201,CUST00201,Debit,N/A,0.0,0,2023-04-13,Active
ACC00202,CUST00202,Mastercard,World Elite,0.023,15000,2021-02-11,Active
ACC00203,CUST00203,Mastercard,Standard,0.013,20000,2021-09-18,Active
ACC00204,CUST00204,Mastercard,Standard,0.04,10000,2023-04-28,Active
ACC00205,CUST00205,Mastercard,Standard,0.035,7500,2019-07-02,Active
ACC00206,CUST00206,Debit,N/A,0.0,0,2022-04-18,Active
ACC00207,CUST00207,Debit,N/A,0.0,0,2022-03-15,Active
ACC00208,CUST00208,Mastercard,Gold,0.032,20000,2019-02-27,Active
ACC00209,CUST00209,Mastercard,Standard,0.016,20000,2019-04-18,Inactive
ACC00210,CUST00210,Mastercard,Platinum,0.023,20000,2021-12-09,Inactive
ACC00211,CUST00211,Cash,N/A,0.0,0,2021-11-07,Active
ACC00212,CUST00212,Mastercard,Platinum,0.037,5000,2021-07-25,Inactive
ACC00213,CUST00213,Debit,N/A,0.0,0,2024-01-02,Active
ACC00214,CUST00214,Debit,N/A,0.0,0,2020-10-17,Active
ACC00215,CUST00215,Mastercard,Standard,0.016,25000,2022-06-09,Active
ACC00216,CUST00216,Mastercard,World Elite,0.016,25000,2019-08-27,Inactive
ACC00217,CUST00217,Cash,N/A,0.0,0,2019-01-10,Inactive
ACC00218,CUST00218,Mastercard,Platinum,0.037,10000,2019-12-29,Suspended
ACC00219,CUST00219,Gift Card,N/A,0.0,0,2023-08-20,Active
ACC00220,CUST00220,Cash,N/A,0.0,0,2024-02-23,Inactive
ACC00221,CUST00221,Mastercard,Standard,0.014,7500,2022-06-27,Active
ACC00222,CUST00222,Mastercard,Platinum,0.023,20000,2022-12-25,Inactive
ACC00223,CUST00223,Visa,N/A,0.0,0,2022-07-06,Active
ACC00224,CUST00224,Mastercard,World Elite,0.03,10000,2021-04-18,Active
ACC00225,CUST00225,Visa,N/A,0.0,0,2021-05-01,Inactive
ACC00226,CUST00226,Debit,N/A,0.0,0,2021-02-11,Active
ACC00227,CUST00227,Gift Card,N/A,0.0,0,2024-01-20,Active
ACC00228,CUST00228,Mastercard,Platinum,0.018,5000,2022-07-07,Active
ACC00229,CUST00229,Mastercard,Standard,0.033,7500,2022-09-19,Active
ACC00230,CUST00230,Mastercard,Standard,0.013,7500,2024-01-22,Active
ACC00231,CUST00231,Visa,N/A,0.0,0,2019-05-17,Active
ACC00232,CUST00232,Mastercard,Standard,0.038,10000,2022-10-26,Active
ACC00233,CUST00233,Visa,N/A,0.0,0,2022-11-24,Active
ACC00234,CUST00234,Mastercard,Gold,0.019,20000,2020-06-19,Active
ACC00235,CUST00235,Mastercard,Standard,0.035,7500,2019-06-27,Active
ACC00236,CUST00236,Debit,N/A,0.0,0,2021-10-16,Active
ACC00237,CUST00237,Mastercard,Gold,0.011,15000,2019-08-12,Active
ACC00238,CUST00238,Debit,N/A,0.0,0,2019-03-19,Inactive
ACC00239,CUST00239,Mastercard,Standard,0.033,5000,2020-05-10,Active
ACC00240,CUST00240,Mastercard,Gold,0.032,15000,2022-05-07,Active
ACC00241,CUST00241,Visa,N/A,0.0,0,2022-09-19,Inactive
ACC00242,CUST00242,Mastercard,Platinum,0.016,7500,2023-01-24,Active
ACC00243,CUST00243,Gift Card,N/A,0.0,0,2022-03-10,Active
ACC00244,CUST00244,Gift Card,N/A,0.0,0,2019-11-09,Active
ACC00245,CUST00245,Mastercard,World Elite,0.038,10000,2021-08-04,Active
ACC00246,CUST00246,Mastercard,Gold,0.022,7500,2020-08-20,Active
ACC00247,CUST00247,Visa,N/A,0.0,0,2020-04-06,Active
ACC00248,CUST00248,Cash,N/A,0.0,0,2020-02-03,Active
ACC00249,CUST00249,Mastercard,Platinum,0.011,15000,2019-05-23,Inactive
ACC00250,CUST00250,Gift Card,N/A,0.0,0,2022-05-17,Active
ACC00251,CUST00251,Mastercard,Gold,0.014,10000,2019-04-27,Active
ACC00252,CUST00252,Debit,N/A,0.0,0,2019-05-14,Active
ACC00253,CUST00253,Visa,N/A,0.0,0,2021-12-30,Active
ACC00254,CUST00254,Mastercard,Platinum,0.032,10000,2021-01-28,Active
ACC00255,CUST00255,Mastercard,World Elite,0.031,5000,2021-02-19,Active
ACC00256,CUST00256,Cash,N/A,0.0,0,2019-04-30,Inactive
ACC00257,CUST00257,Visa,N/A,0.0,0,2023-04-24,Active
ACC00258,CUST00258,Visa,N/A,0.0,0,2023-10-22,Active
ACC00259,CUST00259,Mastercard,Gold,0.027,5000,2019-02-10,Active
ACC00260,CUST00260,Visa,N/A,0.0,0,2024-02-09,Active
ACC00261,CUST00261,Mastercard,Gold,0.022,25000,2022-06-15,Active
ACC00262,CUST00262,Visa,N/A,0.0,0,2024-02-08,Active
ACC00263,CUST00263,Visa,N/A,0.0,0,2022-10-30,Active
ACC00264,CUST00264,Gift Card,N/A,0.0,0,2020-05-27,Active
ACC00265,CUST00265,Visa,N/A,0.0,0,2022-07-27,Active
ACC00266,CUST00266,Mastercard,World Elite,0.015,20000,2023-12-07,Active
ACC00267,CUST00267,Debit,N/A,0.0,0,2019-10-23,Active
ACC00268,CUST00268,Visa,N/A,0.0,0,2023-02-06,Active
ACC00269,CUST00269,Visa,N/A,0.0,0,2021-03-06,Suspended
ACC00270,CUST00270,Mastercard,Platinum,0.021,5000,2021-06-03,Inactive
ACC00271,CUST00271,Mastercard,Standard,0.024,25000,2023-12-07,Active
ACC00272,CUST00272,Mastercard,Standard,0.022,25000,2020-12-23,Active
ACC00273,CUST00273,Visa,N/A,0.0,0,2021-04-11,Active
ACC00274,CUST00274,Mastercard,Gold,0.032,15000,2021-03-06,Active
ACC00275,CUST00275,Mastercard,Standard,0.03,7500,2023-01-21,Active
ACC00276,CUST00276,Mastercard,Standard,0.031,20000,2020-02-03,Inactive
ACC00277,CUST00277,Mastercard,Platinum,0.034,10000,2024-01-18,Active
ACC00278,CUST00278,Mastercard,Platinum,0.034,10000,2022-08-11,Active
ACC00279,CUST00279,Visa,N/A,0.0,0,2021-03-15,Active
ACC00280,CUST00280,Debit,N/A,0.0,0,2019-08-11,Active
ACC00281,CUST00281,Mastercard,Gold,0.037,20000,2021-04-24,Active
ACC00282,CUST00282,Cash,N/A,0.0,0,2020-03-20,Active
ACC00283,CUST00283,Visa,N/A,0.0,0,2023-12-28,Active
ACC00284,CUST00284,Visa,N/A,0.0,0,2021-02-26,Inactive
ACC00285,CUST00285,Cash,N/A,0.0,0,2021-06-03,Active
ACC00286,CUST00286,Visa,N/A,0.0,0,2021-06-26,Active
ACC00287,CUST00287,Visa,N/A,0.0,0,2020-02-27,Active
ACC00288,CUST00288,Mastercard,Platinum,0.018,25000,2022-10-25,Active
ACC00289,CUST00289,Mastercard,Standard,0.022,7500,2019-11-05,Active
ACC00290,CUST00290,Mastercard,Gold,0.036,7500,2023-04-11,Inactive
ACC00291,CUST00291,Mastercard,Standard,0.038,20000,2021-12-22,Active
ACC00292,CUST00292,Mastercard,Platinum,0.03,5000,2019-06-25,Active
ACC00293,CUST00293,Visa,N/A,0.0,0,2024-02-28,Inactive
ACC00294,CUST00294,Mastercard,Standard,0.036,10000,2024-03-22,Inactive
ACC00295,CUST00295,Visa,N/A,0.0,0,2020-02-20,Active
ACC00296,CUST00296,Cash,N/A,0.0,0,2020-03-12,Active
ACC00297,CUST00297,Visa,N/A,0.0,0,2019-05-16,Active
ACC00298,CUST00298,Mastercard,World Elite,0.028,15000,2021-08-30,Active
ACC00299,CUST00299,Visa,N/A,0.0,0,2019-12-25,Active
ACC00300,CUST00300,Gift Card,N/A,0.0,0,2019-07-27,Inactive
ACC00301,CUST00301,Cash,N/A,0.0,0,2019-11-24,Inactive
ACC00302,CUST00302,Mastercard,Standard,0.022,20000,2024-02-08,Active
ACC00303,CUST00303,Mastercard,Standard,0.027,15000,2022-12-04,Suspended
ACC00304,CUST00304,Debit,N/A,0.0,0,2022-11-14,Inactive
ACC00305,CUST00305,Mastercard,Standard,0.013,7500,2024-02-06,Active
ACC00306,CUST00306,Mastercard,Platinum,0.014,15000,2021-08-26,Active
ACC00307,CUST00307,Debit,N/A,0.0,0,2019-12-16,Active
ACC00308,CUST00308,Mastercard,Gold,0.04,10000,2024-03-21,Active
ACC00309,CUST00309,Cash,N/A,0.0,0,2022-03-17,Active
ACC00310,CUST00310,Gift Card,N/A,0.0,0,2024-01-05,Active
ACC00311,CUST00311,Mastercard,Gold,0.03,10000,2023-12-19,Active
ACC00312,CUST00312,Debit,N/A,0.0,0,2019-06-24,Inactive
ACC00313,CUST00313,Mastercard,Standard,0.014,10000,2022-10-19,Active
ACC00314,CUST00314,Debit,N/A,0.0,0,2019-11-03,Active
ACC00315,CUST00315,Debit,N/A,0.0,0,2024-03-29,Active
ACC00316,CUST00316,Gift Card,N/A,0.0,0,2022-10-01,Active
ACC00317,CUST00317,Mastercard,Gold,0.019,5000,2020-12-27,Active
ACC00318,CUST00318,Visa,N/A,0.0,0,2023-06-26,Active
ACC00319,CUST00319,Debit,N/A,0.0,0,2022-06-27,Inactive
ACC00320,CUST00320,Mastercard,Gold,0.015,10000,2020-01-29,Active
ACC00321,CUST00321,Mastercard,World Elite,0.037,5000,2021-09-29,Active
ACC00322,CUST00322,Debit,N/A,0.0,0,2019-12-08,Active
ACC00323,CUST00323,Mastercard,Standard,0.019,15000,2021-06-05,Active
ACC00324,CUST00324,Mastercard,Standard,0.04,25000,2021-07-27,Active
ACC00325,CUST00325,Debit,N/A,0.0,0,2020-11-12,Active
ACC00326,CUST00326,Visa,N/A,0.0,0,2019-09-25,Inactive
ACC00327,CUST00327,Visa,N/A,0.0,0,2024-03-12,Active
ACC00328,CUST00328,Debit,N/A,0.0,0,2023-02-13,Active
ACC00329,CUST00329,Mastercard,Standard,0.016,15000,2021-02-17,Active
ACC00330,CUST00330,Mastercard,Platinum,0.018,15000,2020-11-18,Active
ACC00331,CUST00331,Gift Card,N/A,0.0,0,2021-11-15,Inactive
ACC00332,CUST00332,Visa,N/A,0.0,0,2023-05-25,Active
ACC00333,CUST00333,Gift Card,N/A,0.0,0,2022-12-19,Active
ACC00334,CUST00334,Mastercard,World Elite,0.032,20000,2020-01-31,Active
ACC00335,CUST00335,Cash,N/A,0.0,0,2020-06-30,Active
ACC00336,CUST00336,Mastercard,Gold,0.03,25000,2024-02-14,Active
ACC00337,CUST00337,Debit,N/A,0.0,0,2021-11-08,Inactive
ACC00338,CUST00338,Mastercard,Standard,0.014,5000,2020-05-12,Active
ACC00339,CUST00339,Debit,N/A,0.0,0,2021-02-03,Active
ACC00340,CUST00340,Cash,N/A,0.0,0,2022-03-17,Inactive
ACC00341,CUST00341,Mastercard,Platinum,0.036,5000,2023-01-20,Active
ACC00342,CUST00342,Mastercard,Platinum,0.036,20000,2019-05-25,Active
ACC00343,CUST00343,Mastercard,Gold,0.036,15000,2022-07-16,Inactive
ACC00344,CUST00344,Mastercard,Platinum,0.013,5000,2019-04-26,Active
ACC00345,CUST00345,Mastercard,Standard,0.032,5000,2020-01-16,Active
ACC00346,CUST00346,Mastercard,World Elite,0.01,25000,2020-04-22,Active
ACC00347,CUST00347,Mastercard,Platinum,0.022,25000,2021-12-20,Active
ACC00348,CUST00348,Visa,N/A,0.0,0,2023-08-02,Active
ACC00349,CUST00349,Cash,N/A,0.0,0,2021-10-11,Active
ACC00350,CUST00350,Mastercard,Standard,0.019,25000,2022-04-27,Inactive
ACC00351,CUST00351,Debit,N/A,0.0,0,2019-05-06,Active
ACC00352,CUST00352,Debit,N/A,0.0,0,2021-11-05,Active
ACC00353,CUST00353,Debit,N/A,0.0,0,2019-12-27,Suspended
ACC00354,CUST00354,Debit,N/A,0.0,0,2020-06-23,Active
ACC00355,CUST00355,Mastercard,Gold,0.039,25000,2019-09-11,Active
ACC00356,CUST00356,Mastercard,Standard,0.016,10000,2023-03-29,Suspended
ACC00357,CUST00357,Cash,N/A,0.0,0,2019-11-29,Active
ACC00358,CUST00358,Visa,N/A,0.0,0,2023-09-09,Active
ACC00359,CUST00359,Debit,N/A,0.0,0,2022-05-16,Active
ACC00360,CUST00360,Mastercard,Gold,0.017,10000,2023-08-16,Active
ACC00361,CUST00361,Mastercard,Standard,0.01,25000,2020-05-30,Active
ACC00362,CUST00362,Mastercard,Standard,0.012,15000,2020-12-05,Inactive
ACC00363,CUST00363,Debit,N/A,0.0,0,2019-05-04,Active
ACC00364,CUST00364,Mastercard,Platinum,0.012,25000,2021-07-02,Active
